Label,Mean,RMS,Peak
No TMD - 1F,-0.001783283516309725,0.04011730300947099,0.13140079392640702
No TMD - 2F,-0.002560396078965764,0.05113498467271466,0.12685564421198886
No TMD - 3F,-0.0035401867007060807,0.0629159593291938,0.17535365940950404
TMD1 - 1F,-0.0013563623968284781,0.03972018610299161,0.13449827415997262
TMD1 - 2F,-0.0020259105746830053,0.04968914776493465,0.12435306334438884
TMD1 - 3F,-0.0032004639138892743,0.06156514663861473,0.1759375632973536
TMD2 - 1F,-0.0004447958279668483,0.03886345700959224,0.14086769006359057
TMD2 - 2F,-0.0008568102092628342,0.046694827186492156,0.11842396658456075
TMD2 - 3F,-0.0023065351294781745,0.0581759102299664,0.17423182581288163
TMD3 - 1F,0.0002688372107661894,0.03765476486769807,0.14851030869524923
TMD3 - 2F,0.0003630961483340985,0.04339492147331967,0.1185441952587924
TMD3 - 3F,-0.0008699795410108342,0.05304431413225974,0.16880477641524932
